user_id,book_id,rating
1,258,5
1,268,3
1,5556,3
1,3638,3
1,1796,5
1,867,3
1,47,3
1,2738,3
1,4691,4
1,238,2
1,2063,4
1,916,3
1,4614,1
1,111,3
1,11,5
1,1644,5
1,3889,3
1,136,5
1,6665,4
1,150,3
1,35,5
1,33,4
1,60,3
1,148,3
1,10,4
1,94,1
1,4,5
1,492,2
1,57,3
1,1521,5
1,70,5
1,42,3
1,103,3
1,36,4
1,138,2
1,119,3
1,32,4
1,13,4
1,66,4
1,3406,2
1,2002,5
1,43,4
1,287,3
1,1041,5
1,45,5
1,38,2
1,67,3
1,46,4
1,22,3
1,115,3
1,31,4
1,16,3
1,132,3
1,40,2
1,407,2
1,256,3
1,273,3
1,378,3
1,329,4
1,98,3
1,216,3
1,1176,4
1,140,3
1,869,4
1,2679,3
1,1310,4
1,414,4
1,54,3
1,85,3
1,219,4
1,177,5
1,109,3
1,131,4
1,102,5
1,95,4
1,225,4
1,76,3
1,100,4
1,171,3
1,179,2
1,255,1
1,485,4
1,325,3
1,498,4
1,323,3
1,162,4
1,72,3
1,233,4
1,496,3
1,306,3
1,354,3
2,4081,4
2,260,5
2,9296,5
2,2318,3
2,26,4
2,315,3
2,33,4
2,301,5
2,2686,5
2,3753,5
2,8519,5
3,8452,1
3,522,1
3,4788,2
3,150,2
3,9962,1
3,9790,1
3,1283,1
3,9049,1
3,9215,1
3,4,3
3,6745,2
3,247,3
3,1378,1
3,420,1
3,815,1
3,104,1
3,6212,1
3,1142,1
3,184,1
3,8389,1
3,1025,1
3,4715,1
3,8492,3
3,977,3
3,2615,1
3,265,2
3,2190,2
3,2403,2
3,905,2
3,2963,3
3,9966,1
3,3700,1
3,773,2
3,715,3
3,782,2
3,599,1
3,4290,2
3,660,1
3,9533,1
3,1953,1
3,1598,1
3,501,1
3,427,2
3,7401,4
3,138,2
3,229,2
3,77,1
3,738,1
3,6607,1
3,4686,1
3,5347,1
3,410,3
3,117,1
3,59,3
3,484,1
3,177,2
3,1928,2
3,1005,2
3,118,3
3,1714,3
3,4057,1
3,3311,3
3,5395,1
3,883,1
3,76,1
3,1664,2
3,587,1
3,471,1
3,3229,1
3,2235,1
3,101,1
3,28,2
3,765,3
3,55,1
3,119,1
3,5932,3
3,2010,2
3,13,2
3,1078,3
3,1929,3
3,9014,1
3,1068,3
3,2680,1
3,531,2
3,301,1
3,659,3
3,4090,5
3,32,2
3,58,2
3,15,3
3,255,2
4,70,4
4,264,3
4,388,4
4,18,5
4,27,5
4,21,5
4,2,5
4,23,5
4,24,5
4,964,4
4,103,5
4,255,2
4,35,5
4,287,3
4,337,4
4,26,3
4,84,4
4,58,4
4,1117,3
4,660,3
4,111,2
4,5,4
4,413,4
4,8,4
4,2172,4
4,65,4
4,297,4
4,45,4
4,113,4
4,325,5
4,476,3
4,1237,5
4,145,2
4,36,5
4,102,5
4,222,4
4,200,4
4,13,4
4,640,3
4,693,5
4,575,3
4,55,4
4,1296,3
4,50,4
4,87,5
4,86,4
4,123,4
4,32,4
4,28,3
4,33,3
4,42,5
4,249,4
4,158,4
4,373,4
4,184,4
4,495,4
4,350,3
4,492,4
4,219,4
4,288,4
4,11,4
4,245,5
4,301,4
4,1057,3
4,596,3
4,782,3
4,426,3
4,3273,2
4,1037,4
4,100,3
4,48,4
4,95,4
4,1311,3
4,387,4
4,497,5
4,2190,4
4,1733,3
4,1301,3
4,489,5
4,1435,4
